id,name,product_code,price,base_price,category,image_path,in_stock,featured,source
149,"Bottle 11oz 320 Bbid 289",PROD-0149,0,,Accessories,/images/BOTTLE_11oz_320_BBID-289.webp,true,false,filename
150,"Bottle 11oz 365 Bbid 279",PROD-0150,0,,Accessories,/images/BOTTLE_11oz_365_BBID-279.webp,true,false,filename
151,"Bottle 11oz Bbid 109 330",PROD-0151,0,,Accessories,/images/BOTTLE_11oz_BBID-109_330.webp,true,false,filename
152,"Bottle 12oz 310 Bip1243",PROD-0152,0,,Accessories,/images/BOTTLE_12oz_310_BIP1243.webp,true,false,filename
153,"Bottle 12oz 395 Bip1362",PROD-0153,0,,Accessories,/images/BOTTLE_12oz_395_BIP1362_.webp,true,false,filename
154,"Bottle 12oz 540 Bip1127",PROD-0154,0,,Accessories,/images/BOTTLE_12oz_540_BIP1127.webp,true,false,filename
155,"Bottle 12oz 580 Bip1364",PROD-0155,0,,Accessories,/images/BOTTLE_12oz_580_BIP1364.webp,true,false,filename
156,"Bottle 14oz 250trph14 Gold",PROD-0156,0,,Accessories,/images/BOTTLE_14oz_250TRPH14-gold.webp,true,false,filename
157,"Bottle 14oz 580 Bip1128",PROD-0157,0,,Accessories,/images/BOTTLE_14oz_580_BIP1128.webp,true,false,filename
158,"Bottle 15oz 51934 380 Case 96pcs 350",PROD-0158,0,,Accessories,/images/BOTTLE_15oz_51934_380_case_96pcs_350_.webp,true,false,filename
159,"Bottle 15oz 550 Bip1479",PROD-0159,0,,Accessories,/images/BOTTLE_15oz_550_BIP1479.webp,true,false,filename
160,"Bottle 15oz 590 Bip1570",PROD-0160,0,,Accessories,/images/BOTTLE_15oz_590_BIP1570.webp,true,false,filename
161,"Bottle 15oz 680 Bip1495",PROD-0161,0,,Accessories,/images/BOTTLE_15oz_680_BIP1495.webp,true,false,filename
162,"Bottle 16oz 580 Bip1387",PROD-0162,0,,Accessories,/images/BOTTLE_16oz_580_BIP1387.webp,true,false,filename
163,"Bottle 3pcs 8oz 660 Bbid 301",PROD-0163,0,,Accessories,/images/BOTTLE_3PCS_8oz_660_BBID-301.webp,true,false,filename
164,"Bottle 3oz 260 Bbid 286",PROD-0164,0,,Accessories,/images/BOTTLE_3oz_260_BBID-286.webp,true,false,filename
165,"Bottle 3oz Bbid 37 195",PROD-0165,0,,Accessories,/images/BOTTLE_3oz_BBID-37_195.webp,true,false,filename
166,"Bottle 4oz 200 Bbid 292",PROD-0166,0,,Accessories,/images/BOTTLE_4oz_200_BBID-292_.webp,true,false,filename
167,"Bottle 4oz 240 Bbid 1",PROD-0167,0,,Accessories,/images/BOTTLE_4oz_240_BBID-1.webp,true,false,filename
168,"Bottle 4oz Bb Sh 402 210",PROD-0168,0,,Accessories,/images/BOTTLE_4oz_BB-SH-402_210_.webp,true,false,filename
169,"Bottle 4oz Rts002 365",PROD-0169,0,,Accessories,/images/BOTTLE_4oz_RTS002_365.webp,true,false,filename
170,"Bottle 6oz 290 Bbid 284",PROD-0170,0,,Accessories,/images/BOTTLE_6oz_290_BBID-284.webp,true,false,filename
171,"Bottle 6oz Bbid 117 220",PROD-0171,0,,Accessories,/images/BOTTLE_6oz_BBID-117_220.webp,true,false,filename
172,"Bottle 7oz Bbid 13 350",PROD-0172,0,,Accessories,/images/BOTTLE_7oz_BBID-13_350.webp,true,false,filename
173,"Bottle 8oz 220 455614",PROD-0173,0,,Accessories,/images/BOTTLE_8oz_220_455614.webp,true,false,filename
174,"Bottle 8oz 230 Bbid 293",PROD-0174,0,,Accessories,/images/BOTTLE_8oz_230_BBID-293_.webp,true,false,filename
175,"Bottle 8oz 250 Gb0511",PROD-0175,0,,Accessories,/images/BOTTLE_8oz_250_GB0511.webp,true,false,filename
176,"Bottle 8oz 260 Bbid 142",PROD-0176,0,,Accessories,/images/BOTTLE_8oz_260_BBID-142.webp,true,false,filename
177,"Bottle 8oz 290",PROD-0177,0,,Accessories,/images/BOTTLE_8oz_290.webp,true,false,filename
178,"Bottle 8oz 310 Bbid 285",PROD-0178,0,,Accessories,/images/BOTTLE_8oz_310_BBID-285.webp,true,false,filename
179,"Bottle 8oz 330 Bbid 113",PROD-0179,0,,Accessories,/images/BOTTLE_8oz_330_BBID-113.webp,true,false,filename
180,"Bottle 8oz 385 Bip1575",PROD-0180,0,,Accessories,/images/BOTTLE_8oz_385_BIP1575.webp,true,false,filename
